Geography,Category,Data Type,Unit,Current Constant,2016,2017,2018,2019,2020,2021
World,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,USD million,Current Prices,"4,232,802.7","4,467,851.5","4,737,010.1","4,955,043.0","4,858,453.7","5,320,967.2"
Asia Pacific,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,USD million,Current Prices,"632,693.6","693,923.9","794,552.7","854,874.6","923,327.3","981,089.8"
Azerbaijan,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,AZN million,Current Prices,"1,727.0","1,920.5","2,102.0","2,288.7","2,197.0","2,421.7"
Bangladesh,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,BDT million,Current Prices,"319,453.8","365,211.4","436,062.6","476,676.2","525,440.4","579,098.0"
Cambodia,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,KHR million,Current Prices,"3,988,153.5","4,940,164.4","5,415,915.4","5,199,267.2","4,770,287.9","5,281,169.4"
China,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,CNY million,Current Prices,"2,189,639.3","2,522,044.8","2,983,321.0","3,382,680.5","3,884,760.5","3,854,681.0"
"Hong Kong, China",Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,HKD million,Current Prices,"79,984.0","85,700.7","92,315.9","92,597.4","86,016.8","93,699.0"
India,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,INR million,Current Prices,"4,109,048.6","4,569,973.7","5,355,186.3","5,998,548.0","5,783,510.9","6,711,411.0"
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,IDR million,Current Prices,"196,473,457.9","224,863,885.8","259,028,583.9","286,437,139.2","289,721,650.5","302,446,882.7"
Japan,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,JPY million,Current Prices,"10,995,037.8","11,080,215.8","11,188,283.4","11,630,839.3","11,634,248.7","11,855,580.9"
Kazakhstan,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,KZT million,Current Prices,"1,111,940.7","1,249,424.1","1,380,682.8","1,582,814.9","1,626,598.4","1,859,251.2"
Laos,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,LAK million,Current Prices,"2,140,239.3","2,327,064.3","2,632,617.1","2,765,443.6","2,937,760.9","3,107,584.0"
Malaysia,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,MYR million,Current Prices,"18,831.0","20,531.1","22,306.4","24,138.7","23,955.5","23,475.2"
Myanmar,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,MMK million,Current Prices,"1,187,097.1","1,372,221.7","1,563,340.0","1,675,380.4","1,847,568.2","1,911,565.1"
Pakistan,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,PKR million,Current Prices,"1,255,302.5","1,325,411.4","1,494,412.4","1,786,560.8","1,865,529.5","2,107,091.8"
Philippines,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,PHP million,Current Prices,"305,006.5","344,058.4","369,885.6","403,878.3","385,881.1","421,573.1"
Singapore,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,SGD million,Current Prices,"11,248.8","11,995.8","12,400.3","13,246.7","11,374.3","12,389.8"
South Korea,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,KRW million,Current Prices,"39,496,095.0","41,419,409.8","44,359,010.4","48,988,602.1","50,469,956.0","53,486,185.0"
Sri Lanka,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,LKR million,Current Prices,"233,233.2","236,032.6","262,606.0","295,659.8","303,013.7","348,824.9"
Taiwan,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,TWD million,Current Prices,"355,567.6","359,606.5","373,660.1","386,478.6","397,261.2","384,431.6"
Thailand,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,THB million,Current Prices,"378,315.8","393,729.7","414,488.9","440,946.6","452,106.4","437,855.8"
Turkmenistan,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,TMT million,Current Prices,712.0,797.7,794.5,885.9,881.8,"1,031.6"
Uzbekistan,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,UZS million,Current Prices,"7,862,557.9","9,277,256.8","9,957,410.0","12,152,442.2","13,779,290.1","15,996,369.3"
Vietnam,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,VND million,Current Prices,"161,969,514.0","185,545,580.6","222,607,893.7","255,099,256.3","265,444,406.7","275,325,551.5"
Australasia,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,USD million,Current Prices,"49,265.4","53,969.6","55,657.0","54,717.4","52,150.1","60,697.5"
Australia,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,AUD million,Current Prices,"62,806.4","66,379.2","70,148.6","74,159.6","71,191.2","75,850.5"
New Zealand,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,NZD million,Current Prices,"4,096.4","4,367.9","4,676.0","4,828.2","4,914.3","5,288.5"
Eastern Europe,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,USD million,Current Prices,"69,954.3","83,497.6","90,246.9","94,072.3","90,393.3","102,210.6"
Belarus,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,BYN million,Current Prices,"1,829.2","1,977.5","2,387.6","2,700.5","2,833.4","3,223.4"
Bosnia and Herzegovina,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,BAM million,Current Prices,966.7,983.7,981.6,"1,050.1","1,017.3","1,109.9"
Bulgaria,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,BGN million,Current Prices,"3,912.5","4,145.8","4,409.3","4,779.2","5,003.5","5,504.8"
Croatia,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,HRK million,Current Prices,"10,271.0","10,839.5","11,346.1","13,026.9","10,792.3","13,307.8"
Czech Republic,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,CZK million,Current Prices,"58,077.0","59,998.0","62,752.9","68,234.2","67,359.0","70,262.0"
Estonia,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,EUR million,Current Prices,371.0,397.1,424.4,442.1,451.7,528.1
Georgia,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,GEL million,Current Prices,"3,387.1","3,871.0","4,218.7","4,758.1","5,521.8","6,708.2"
Hungary,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,HuF million,Current Prices,"801,564.8","832,418.9","863,179.8","969,597.7","1,002,687.4","1,080,928.4"
Latvia,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,EUR million,Current Prices,711.4,779.6,808.4,903.5,904.3,923.6
Lithuania,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,EUR million,Current Prices,"1,111.9","1,142.9","1,223.8","1,391.0","1,529.5","1,544.4"
Montenegro,Consumer Expenditure on Health Goods and Medical Services,Socio-economic indicators,EUR million,Current Prices,80.0,89.0,104.3,96.8,86.5,91.9
