Geography,Category,Data Type,Unit,Current Constant,2016,2017,2018,2019,2020,2021
World,Consumer Expenditure on Hospital Services,Socio-economic indicators,USD million,Current Prices,"1,633,549.4","1,719,705.5","1,852,875.2","1,950,555.4","1,899,150.2","2,085,465.8"
Asia Pacific,Consumer Expenditure on Hospital Services,Socio-economic indicators,USD million,Current Prices,"266,891.2","301,546.3","369,492.3","401,024.2","453,077.9","482,085.4"
Azerbaijan,Consumer Expenditure on Hospital Services,Socio-economic indicators,AZN million,Current Prices,384.2,429.1,466.9,499.2,473.2,528.7
Bangladesh,Consumer Expenditure on Hospital Services,Socio-economic indicators,BDT million,Current Prices,"28,675.1","32,082.8","39,563.6","43,637.1","48,421.1","52,834.0"
Cambodia,Consumer Expenditure on Hospital Services,Socio-economic indicators,KHR million,Current Prices,"642,417.4","844,005.6","964,248.8","923,772.0","868,535.0","926,910.2"
China,Consumer Expenditure on Hospital Services,Socio-economic indicators,CNY million,Current Prices,"1,438,489.5","1,671,921.3","2,054,441.0","2,336,385.4","2,700,857.9","2,681,851.6"
"Hong Kong, China",Consumer Expenditure on Hospital Services,Socio-economic indicators,HKD million,Current Prices,"21,489.4","23,029.2","24,806.4","24,835.4","23,054.9","25,130.7"
India,Consumer Expenditure on Hospital Services,Socio-economic indicators,INR million,Current Prices,"725,340.6","807,388.0","946,903.7","1,061,394.4","1,023,693.3","1,188,336.4"
Indonesia,Consumer Expenditure on Hospital Services,Socio-economic indicators,IDR million,Current Prices,"42,131,272.7","48,184,839.3","55,475,541.3","61,320,346.9","62,005,540.0","64,710,287.7"
Japan,Consumer Expenditure on Hospital Services,Socio-economic indicators,JPY million,Current Prices,"991,213.6","988,558.2","994,257.9","1,012,011.9","1,003,998.4","1,016,858.1"
Kazakhstan,Consumer Expenditure on Hospital Services,Socio-economic indicators,KZT million,Current Prices,"220,211.4","250,513.0","265,332.5","302,655.4","310,834.2","355,509.1"
Laos,Consumer Expenditure on Hospital Services,Socio-economic indicators,LAK million,Current Prices,"463,304.8","506,386.5","572,300.6","601,923.7","640,941.9","678,201.2"
Malaysia,Consumer Expenditure on Hospital Services,Socio-economic indicators,MYR million,Current Prices,"1,710.0","1,854.1","2,049.1","2,279.8","2,249.2","2,202.3"
