Geography,Category,Data Type,Unit,Current Constant,2016,2017,2018,2019,2020,2021
World,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,USD million,Current Prices,"1,096,408.5","1,164,110.1","1,223,997.9","1,275,584.2","1,307,096.0","1,404,320.4"
Asia Pacific,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,USD million,Current Prices,"184,379.1","199,100.9","218,608.9","232,731.0","241,946.6","255,129.7"
Azerbaijan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,AZN million,Current Prices,745.1,828.9,909.3,995.6,960.6,"1,054.1"
Bangladesh,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,BDT million,Current Prices,"228,451.1","263,286.0","312,013.2","341,102.5","375,707.7","414,731.2"
Cambodia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,KHR million,Current Prices,"1,964,802.2","2,418,046.5","2,738,897.1","2,632,727.3","2,428,121.6","2,696,940.9"
China,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,CNY million,Current Prices,"387,672.9","438,764.4","500,214.0","561,593.0","638,161.6","619,192.6"
"Hong Kong, China","Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,HKD million,Current Prices,"19,068.0","21,027.6","23,198.2","23,695.2","22,302.2","24,475.1"
India,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,INR million,Current Prices,"1,949,654.4","2,164,773.5","2,532,587.3","2,833,007.5","2,730,523.5","3,167,649.9"
Indonesia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,IDR million,Current Prices,"54,516,637.4","62,450,557.5","71,988,479.2","79,647,044.2","80,589,755.3","84,159,960.0"
Japan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,JPY million,Current Prices,"5,095,393.7","5,202,308.7","5,109,692.1","5,264,239.7","5,258,249.5","5,352,518.2"
Kazakhstan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,KZT million,Current Prices,"658,151.0","728,526.2","809,489.1","936,630.6","969,160.8","1,112,272.7"
Laos,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,LAK million,Current Prices,"896,071.8","980,381.4","1,113,641.2","1,174,029.2","1,250,606.5","1,324,808.7"
Malaysia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,MYR million,Current Prices,"13,127.9","14,195.3","15,186.9","16,120.7","15,905.6","15,608.4"
Myanmar,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,MMK million,Current Prices,"497,011.8","577,719.7","661,627.1","711,033.2","785,047.7","812,937.6"
Pakistan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,PKR million,Current Prices,"593,301.3","666,094.1","787,170.1","981,613.5","1,048,652.2","1,202,346.8"
Philippines,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,PHP million,Current Prices,"148,605.6","167,800.8","180,713.0","197,560.4","188,801.5","206,254.3"
Singapore,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,SGD million,Current Prices,"2,967.0","2,891.4","2,680.5","2,775.4","2,289.3","2,447.1"
South Korea,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,KRW million,Current Prices,"9,099,014.2","9,645,698.4","10,651,986.5","11,524,241.8","11,946,845.1","12,795,258.0"
Sri Lanka,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,LKR million,Current Prices,"65,101.0","67,522.9","76,780.0","87,967.7","90,740.3","104,888.3"
Taiwan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,TWD million,Current Prices,"181,989.2","182,905.8","188,610.9","193,706.1","197,839.6","190,025.1"
Thailand,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,THB million,Current Prices,"125,978.5","127,975.8","147,595.7","157,017.0","160,990.9","157,169.8"
Turkmenistan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,TMT million,Current Prices,346.4,387.6,385.6,429.4,426.9,498.9
