Geography,Category,Data Type,Unit,Current Constant,2016,2017,2018,2019,2020,2021
World,Death Rates,Socio-economic indicators,per '000 population,-,7.5,7.5,7.5,7.5,7.8,7.8
Asia Pacific,Death Rates,Socio-economic indicators,per '000 population,-,7.0,7.0,7.1,7.1,7.2,7.3
Afghanistan,Death Rates,Socio-economic indicators,per '000 population,-,6.7,6.6,6.4,6.3,6.2,6.0
American Samoa,Death Rates,Socio-economic indicators,per '000 population,-,5.0,5.6,5.4,5.0,5.8,5.9
Armenia,Death Rates,Socio-economic indicators,per '000 population,-,9.8,9.9,9.9,9.8,9.8,9.8
Azerbaijan,Death Rates,Socio-economic indicators,per '000 population,-,5.8,5.8,5.8,5.6,7.5,6.9
Bangladesh,Death Rates,Socio-economic indicators,per '000 population,-,5.5,5.5,5.5,5.5,5.5,5.5
Bhutan,Death Rates,Socio-economic indicators,per '000 population,-,6.2,6.2,6.2,6.3,6.3,6.3
Brunei Darussalam,Death Rates,Socio-economic indicators,per '000 population,-,4.3,4.3,4.4,4.5,4.7,4.8
Cambodia,Death Rates,Socio-economic indicators,per '000 population,-,6.1,6.0,6.0,6.0,6.0,6.0
China,Death Rates,Socio-economic indicators,per '000 population,-,7.1,7.1,7.1,7.1,7.2,7.3
Fiji,Death Rates,Socio-economic indicators,per '000 population,-,8.2,8.2,8.2,8.3,8.3,8.4
French Polynesia,Death Rates,Socio-economic indicators,per '000 population,-,5.5,5.6,5.6,5.7,5.8,5.9
Guam,Death Rates,Socio-economic indicators,per '000 population,-,5.1,5.2,5.2,5.3,5.3,5.4
"Hong Kong, China",Death Rates,Socio-economic indicators,per '000 population,-,6.4,6.3,6.4,6.5,6.7,7.0
India,Death Rates,Socio-economic indicators,per '000 population,-,7.2,7.2,7.2,7.3,7.4,7.7
Indonesia,Death Rates,Socio-economic indicators,per '000 population,-,6.4,6.4,6.5,6.5,6.6,6.6
Japan,Death Rates,Socio-economic indicators,per '000 population,-,10.3,10.6,10.8,11.0,10.9,11.1
Kazakhstan,Death Rates,Socio-economic indicators,per '000 population,-,7.4,7.2,7.1,7.2,8.6,8.7
Kiribati,Death Rates,Socio-economic indicators,per '000 population,-,6.5,6.4,6.3,6.3,6.3,6.2
Kyrgyzstan,Death Rates,Socio-economic indicators,per '000 population,-,6.1,6.0,6.0,5.9,5.9,5.8
Laos,Death Rates,Socio-economic indicators,per '000 population,-,6.6,6.5,6.4,6.4,6.3,6.3
"Macau, China",Death Rates,Socio-economic indicators,per '000 population,-,3.8,3.9,3.9,4.0,4.1,4.2
Malaysia,Death Rates,Socio-economic indicators,per '000 population,-,5.1,5.3,5.3,5.3,5.3,5.5
Maldives,Death Rates,Socio-economic indicators,per '000 population,-,3.0,2.9,2.8,2.8,2.7,2.7
Mongolia,Death Rates,Socio-economic indicators,per '000 population,-,6.3,6.3,6.3,6.3,6.4,6.4
Myanmar,Death Rates,Socio-economic indicators,per '000 population,-,8.2,8.2,8.2,8.2,8.3,8.3
Nauru,Death Rates,Socio-economic indicators,per '000 population,-,9.5,8.9,8.8,8.8,8.9,8.9
Nepal,Death Rates,Socio-economic indicators,per '000 population,-,6.5,6.4,6.4,6.3,6.3,6.3
New Caledonia,Death Rates,Socio-economic indicators,per '000 population,-,5.6,5.7,5.8,5.8,5.9,6.0
North Korea,Death Rates,Socio-economic indicators,per '000 population,-,8.9,9.0,9.1,9.2,9.3,9.4
Pakistan,Death Rates,Socio-economic indicators,per '000 population,-,7.0,7.0,6.9,6.9,6.8,6.8
Papua New Guinea,Death Rates,Socio-economic indicators,per '000 population,-,7.6,7.5,7.4,7.4,7.3,7.3
Philippines,Death Rates,Socio-economic indicators,per '000 population,-,5.8,5.8,5.9,5.9,6.0,6.0
Samoa,Death Rates,Socio-economic indicators,per '000 population,-,5.4,5.3,5.2,5.2,5.2,5.2
Singapore,Death Rates,Socio-economic indicators,per '000 population,-,3.6,3.7,3.8,3.8,3.9,4.0
Solomon Islands,Death Rates,Socio-economic indicators,per '000 population,-,4.3,4.3,4.3,4.2,4.2,4.2
South Korea,Death Rates,Socio-economic indicators,per '000 population,-,5.5,5.5,5.8,5.7,5.9,6.1
Sri Lanka,Death Rates,Socio-economic indicators,per '000 population,-,6.5,6.6,6.7,6.8,6.9,7.0
Taiwan,Death Rates,Socio-economic indicators,per '000 population,-,7.3,7.3,7.3,7.5,7.3,7.9
Tajikistan,Death Rates,Socio-economic indicators,per '000 population,-,5.1,5.0,4.9,4.8,4.7,4.6
Thailand,Death Rates,Socio-economic indicators,per '000 population,-,7.5,7.6,7.7,7.8,7.9,8.1
Tonga,Death Rates,Socio-economic indicators,per '000 population,-,7.2,7.2,7.2,7.1,7.0,7.0
Turkmenistan,Death Rates,Socio-economic indicators,per '000 population,-,7.1,7.1,7.0,7.0,7.0,7.1
Uzbekistan,Death Rates,Socio-economic indicators,per '000 population,-,5.9,5.8,5.8,5.8,5.8,5.8
Vanuatu,Death Rates,Socio-economic indicators,per '000 population,-,5.4,5.3,5.3,5.2,5.1,5.1
Vietnam,Death Rates,Socio-economic indicators,per '000 population,-,6.1,6.2,6.2,6.3,6.4,6.4
Australasia,Death Rates,Socio-economic indicators,per '000 population,-,6.6,6.7,6.4,6.6,6.3,6.4
Australia,Death Rates,Socio-economic indicators,per '000 population,-,6.6,6.6,6.3,6.5,6.3,6.4
New Zealand,Death Rates,Socio-economic indicators,per '000 population,-,6.6,6.9,6.8,6.9,6.4,6.4
Eastern Europe,Death Rates,Socio-economic indicators,per '000 population,-,12.4,12.3,12.4,12.3,14.0,13.8
Albania,Death Rates,Socio-economic indicators,per '000 population,-,7.5,7.7,7.9,8.1,8.3,8.4
Belarus,Death Rates,Socio-economic indicators,per '000 population,-,12.6,12.6,12.7,12.8,13.3,13.1
Bosnia and Herzegovina,Death Rates,Socio-economic indicators,per '000 population,-,10.4,10.8,10.4,10.7,12.3,11.6
Bulgaria,Death Rates,Socio-economic indicators,per '000 population,-,15.1,15.5,15.4,15.5,18.0,18.2
Croatia,Death Rates,Socio-economic indicators,per '000 population,-,12.4,12.9,12.9,12.7,14.0,13.4
Czech Republic,Death Rates,Socio-economic indicators,per '000 population,-,10.2,10.5,10.6,10.5,12.1,12.5
Estonia,Death Rates,Socio-economic indicators,per '000 population,-,11.7,11.8,11.9,11.6,11.9,12.7
Georgia,Death Rates,Socio-economic indicators,per '000 population,-,13.6,12.8,12.5,12.5,13.6,13.2
Hungary,Death Rates,Socio-economic indicators,per '000 population,-,12.9,13.5,13.4,13.3,14.5,14.7
Kosovo,Death Rates,Socio-economic indicators,per '000 population,-,4.8,4.9,5.0,5.1,5.2,5.3
Latvia,Death Rates,Socio-economic indicators,per '000 population,-,14.6,14.8,15.0,14.5,15.2,15.7
Lithuania,Death Rates,Socio-economic indicators,per '000 population,-,14.3,14.2,14.1,13.7,15.6,16.0
Moldova,Death Rates,Socio-economic indicators,per '000 population,-,11.5,11.5,11.6,11.7,11.8,11.9
Montenegro,Death Rates,Socio-economic indicators,per '000 population,-,10.5,10.6,10.7,10.8,10.8,10.8
North Macedonia,Death Rates,Socio-economic indicators,per '000 population,-,9.9,9.8,9.5,9.8,12.1,11.0
Poland,Death Rates,Socio-economic indicators,per '000 population,-,10.1,10.5,10.8,10.7,12.5,13.0
