Geography,Category,Data Type,Unit,Current Constant,2016,2017,2018,2019,2020,2021
World,Government Expenditure on Health,Socio-economic indicators,USD million,Current Prices,"4,173,851.6","4,342,724.1","4,620,968.9","4,840,366.9","5,704,405.3","6,086,894.7"
Asia Pacific,Government Expenditure on Health,Socio-economic indicators,USD million,Current Prices,"803,332.7","830,164.5","889,335.7","1,000,396.4","1,156,493.4","1,198,172.9"
Afghanistan,Government Expenditure on Health,Socio-economic indicators,AFN million,Current Prices,"13,462.0","15,915.2","18,399.5","20,353.0","21,991.7","23,116.9"
Armenia,Government Expenditure on Health,Socio-economic indicators,AMD million,Current Prices,"100,684.5","80,025.4","78,763.3","96,943.8","111,682.7","109,304.8"
Azerbaijan,Government Expenditure on Health,Socio-economic indicators,AZN million,Current Prices,787.5,775.9,805.0,903.0,984.5,"1,079.6"
Bangladesh,Government Expenditure on Health,Socio-economic indicators,BDT million,Current Prices,"142,020.0","163,788.1","197,809.5","241,722.0","259,312.3","299,308.7"
Bhutan,Government Expenditure on Health,Socio-economic indicators,BTN million,Current Prices,"4,001.1","4,366.2","4,871.0","3,749.5","4,827.9","5,293.6"
China,Government Expenditure on Health,Socio-economic indicators,CNY million,Current Prices,"2,301,198.8","2,545,791.0","2,796,945.0","3,527,062.8","3,981,776.0","4,025,010.2"
Fiji,Government Expenditure on Health,Socio-economic indicators,FJD million,Current Prices,264.2,304.1,352.6,332.4,302.3,338.2
"Hong Kong, China",Government Expenditure on Health,Socio-economic indicators,HKD million,Current Prices,"65,199.5","68,906.7","75,990.1","85,301.1","122,249.6","132,137.3"
India,Government Expenditure on Health,Socio-economic indicators,INR million,Current Prices,"752,222.5","844,271.8","861,739.6","960,614.9","1,081,037.3","1,203,159.1"
Indonesia,Government Expenditure on Health,Socio-economic indicators,IDR million,Current Prices,"188,811,296.3","188,395,911.0","210,705,873.0","234,153,940.7","276,360,183.3","301,988,401.5"
Japan,Government Expenditure on Health,Socio-economic indicators,JPY million,Current Prices,"39,999,061.4","40,530,095.7","41,028,647.6","41,861,936.9","48,772,750.8","48,598,012.3"
Kazakhstan,Government Expenditure on Health,Socio-economic indicators,KZT million,Current Prices,"1,864,998.0","1,461,054.8","1,254,935.5","1,405,755.6","1,709,897.2","1,545,355.2"
Kiribati,Government Expenditure on Health,Socio-economic indicators,AUD million,Current Prices,40.3,34.3,55.7,38.6,36.3,40.5
