Geography,Category,Data Type,Unit,Current Constant,2019,2020,2021
World,Old-Age Dependency Ratio,Socio-economic indicators,%,-,14.1,14.5,14.9
Asia Pacific,Old-Age Dependency Ratio,Socio-economic indicators,%,-,13.2,13.7,14.2
Afghanistan,Old-Age Dependency Ratio,Socio-economic indicators,%,-,4.8,4.8,4.8
American Samoa,Old-Age Dependency Ratio,Socio-economic indicators,%,-,7.5,7.6,7.6
Armenia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,16.9,17.5,18.3
Azerbaijan,Old-Age Dependency Ratio,Socio-economic indicators,%,-,9.6,10.0,10.5
Bangladesh,Old-Age Dependency Ratio,Socio-economic indicators,%,-,7.7,7.7,7.8
Bhutan,Old-Age Dependency Ratio,Socio-economic indicators,%,-,8.9,9.0,9.2
Brunei Darussalam,Old-Age Dependency Ratio,Socio-economic indicators,%,-,7.2,7.7,8.3
Cambodia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,7.3,7.6,7.8
China,Old-Age Dependency Ratio,Socio-economic indicators,%,-,16.7,17.6,18.4
Fiji,Old-Age Dependency Ratio,Socio-economic indicators,%,-,8.6,8.9,9.2
French Polynesia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,12.6,13.2,13.8
Guam,Old-Age Dependency Ratio,Socio-economic indicators,%,-,15.5,16.1,16.6
"Hong Kong, China",Old-Age Dependency Ratio,Socio-economic indicators,%,-,24.9,26.2,27.6
India,Old-Age Dependency Ratio,Socio-economic indicators,%,-,9.7,10.0,10.3
Indonesia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,8.9,9.2,9.6
Japan,Old-Age Dependency Ratio,Socio-economic indicators,%,-,47.8,48.5,49.1
Kazakhstan,Old-Age Dependency Ratio,Socio-economic indicators,%,-,12.2,12.8,13.3
Kiribati,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.8,7.0,7.3
Kyrgyzstan,Old-Age Dependency Ratio,Socio-economic indicators,%,-,7.3,7.5,7.9
Laos,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.5,6.7,6.8
"Macau, China",Old-Age Dependency Ratio,Socio-economic indicators,%,-,15.0,16.2,17.5
Malaysia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,9.9,10.3,10.7
Maldives,Old-Age Dependency Ratio,Socio-economic indicators,%,-,4.7,4.7,4.9
Mongolia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.4,6.7,6.9
Myanmar,Old-Age Dependency Ratio,Socio-economic indicators,%,-,8.8,9.1,9.5
Nauru,Old-Age Dependency Ratio,Socio-economic indicators,%,-,2.6,2.6,2.6
Nepal,Old-Age Dependency Ratio,Socio-economic indicators,%,-,8.9,8.9,8.9
New Caledonia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,13.9,14.2,14.6
North Korea,Old-Age Dependency Ratio,Socio-economic indicators,%,-,13.2,13.2,13.5
Pakistan,Old-Age Dependency Ratio,Socio-economic indicators,%,-,7.1,7.1,7.2
Papua New Guinea,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.7,5.8,5.9
Philippines,Old-Age Dependency Ratio,Socio-economic indicators,%,-,8.3,8.6,8.8
Samoa,Old-Age Dependency Ratio,Socio-economic indicators,%,-,8.6,8.8,9.0
Singapore,Old-Age Dependency Ratio,Socio-economic indicators,%,-,17.3,19.0,20.7
Solomon Islands,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.5,6.5,6.6
South Korea,Old-Age Dependency Ratio,Socio-economic indicators,%,-,20.4,21.7,23.0
Sri Lanka,Old-Age Dependency Ratio,Socio-economic indicators,%,-,16.7,17.3,17.9
