Geography,Category,Data Type,Unit,Current Constant,2016,2017,2018,2019,2020,2021
World,Population Aged 60-64,Socio-economic indicators,000,-,"300,588.6","306,602.7","311,422.8","316,562.6","322,604.1","330,059.5"
Asia Pacific,Population Aged 60-64,Socio-economic indicators,000,-,"175,500.4","178,219.5","180,150.3","182,244.8","185,398.8","189,957.7"
Afghanistan,Population Aged 60-64,Socio-economic indicators,000,-,530.7,548.5,568.4,589.9,612.6,636.2
Armenia,Population Aged 60-64,Socio-economic indicators,000,-,153.3,164.7,176.9,188.3,197.1,202.2
Azerbaijan,Population Aged 60-64,Socio-economic indicators,000,-,351.1,384.9,419.4,466.1,507.9,550.0
Bangladesh,Population Aged 60-64,Socio-economic indicators,000,-,"3,366.3","3,571.2","3,839.4","4,155.1","4,500.4","4,857.5"
Bhutan,Population Aged 60-64,Socio-economic indicators,000,-,17.9,18.7,19.6,20.5,21.3,21.9
Brunei Darussalam,Population Aged 60-64,Socio-economic indicators,000,-,13.3,14.4,15.4,16.3,17.2,18.0
Cambodia,Population Aged 60-64,Socio-economic indicators,000,-,420.6,426.8,431.6,439.2,453.5,477.6
China,Population Aged 60-64,Socio-economic indicators,000,-,"81,459.3","81,025.0","79,802.8","78,677.0","78,586.7","79,975.5"
Fiji,Population Aged 60-64,Socio-economic indicators,000,-,28.2,29.6,31.2,32.7,34.2,35.6
French Polynesia,Population Aged 60-64,Socio-economic indicators,000,-,11.8,12.1,12.3,12.4,12.7,13.1
Guam,Population Aged 60-64,Socio-economic indicators,000,-,7.0,7.2,7.4,7.6,7.9,8.2
"Hong Kong, China",Population Aged 60-64,Socio-economic indicators,000,-,495.3,524.5,551.5,574.8,591.4,607.2
India,Population Aged 60-64,Socio-economic indicators,000,-,"44,432.0","45,704.3","46,720.0","47,616.5","48,706.6","49,754.9"
Indonesia,Population Aged 60-64,Socio-economic indicators,000,-,"8,454.7","8,946.1","9,443.1","9,930.5","10,394.8","10,825.2"
Japan,Population Aged 60-64,Socio-economic indicators,000,-,"8,159.7","7,802.7","7,590.2","7,524.2","7,440.7","7,393.2"
Kazakhstan,Population Aged 60-64,Socio-economic indicators,000,-,734.1,757.7,771.6,785.1,805.4,839.7
Kiribati,Population Aged 60-64,Socio-economic indicators,000,-,2.5,2.6,2.7,2.9,3.0,3.2
Kyrgyzstan,Population Aged 60-64,Socio-economic indicators,000,-,170.5,182.2,194.6,207.4,220.1,232.6
Laos,Population Aged 60-64,Socio-economic indicators,000,-,159.4,166.1,172.2,178.2,184.3,191.0
"Macau, China",Population Aged 60-64,Socio-economic indicators,000,-,37.1,39.0,40.9,42.8,44.8,46.9
Malaysia,Population Aged 60-64,Socio-economic indicators,000,-,"1,066.9","1,109.1","1,154.0","1,192.4","1,229.4","1,266.5"
Maldives,Population Aged 60-64,Socio-economic indicators,000,-,9.4,10.1,10.6,11.1,11.6,12.3
Mongolia,Population Aged 60-64,Socio-economic indicators,000,-,74.4,79.6,85.1,91.0,97.6,105.0
Myanmar,Population Aged 60-64,Socio-economic indicators,000,-,"1,862.0","1,925.3","1,972.9","2,011.9","2,049.6","2,092.0"
Nepal,Population Aged 60-64,Socio-economic indicators,000,-,769.5,778.5,788.2,802.2,823.1,852.8
New Caledonia,Population Aged 60-64,Socio-economic indicators,000,-,10.9,11.3,11.7,12.2,12.8,13.5
North Korea,Population Aged 60-64,Socio-economic indicators,000,-,838.0,982.7,"1,164.5","1,341.3","1,472.5","1,526.1"
Pakistan,Population Aged 60-64,Socio-economic indicators,000,-,"4,279.4","4,499.2","4,748.7","5,013.4","5,279.1","5,533.4"
Papua New Guinea,Population Aged 60-64,Socio-economic indicators,000,-,191.5,198.3,204.6,210.8,217.0,223.7
Philippines,Population Aged 60-64,Socio-economic indicators,000,-,"2,888.5","3,014.1","3,142.8","3,270.5","3,393.2","3,507.8"
Samoa,Population Aged 60-64,Socio-economic indicators,000,-,5.1,5.3,5.5,5.7,5.9,6.1
Singapore,Population Aged 60-64,Socio-economic indicators,000,-,410.9,428.3,441.9,454.4,458.4,464.0
Solomon Islands,Population Aged 60-64,Socio-economic indicators,000,-,11.1,11.6,12.1,12.8,13.4,14.1
South Korea,Population Aged 60-64,Socio-economic indicators,000,-,"2,993.3","3,169.2","3,384.3","3,623.6","3,808.1","4,060.6"
Sri Lanka,Population Aged 60-64,Socio-economic indicators,000,-,992.2,"1,019.4","1,051.6","1,084.4","1,113.9","1,137.4"
Taiwan,Population Aged 60-64,Socio-economic indicators,000,-,"1,519.7","1,554.1","1,581.8","1,619.8","1,657.5","1,677.1"
Tajikistan,Population Aged 60-64,Socio-economic indicators,000,-,175.6,192.2,210.2,228.6,246.2,262.1
Thailand,Population Aged 60-64,Socio-economic indicators,000,-,"3,665.9","3,852.3","4,037.5","4,212.0","4,367.7","4,498.1"
Tonga,Population Aged 60-64,Socio-economic indicators,000,-,2.7,2.8,2.8,2.9,3.0,3.0
