Geography,Category,Unit per million,year,per million
Asia Pacific,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",USD,2016,184379.1
Azerbaijan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",AZN,2016,745.1
Bangladesh,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",BDT,2016,228451.1
Cambodia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",KHR,2016,1964802.2
China,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",CNY,2016,387672.9
"Hong Kong, China","Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",HKD,2016,19068.0
India,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",INR,2016,1949654.4
Indonesia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",IDR,2016,54516637.4
Japan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",JPY,2016,5095393.7
Kazakhstan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",KZT,2016,658151.0
Laos,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",LAK,2016,896071.8
Malaysia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",MYR,2016,13127.9
Myanmar,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",MMK,2016,497011.8
Pakistan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",PKR,2016,593301.3
Philippines,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",PHP,2016,148605.6
Singapore,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",SGD,2016,2967.0
South Korea,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",KRW,2016,9099014.2
Sri Lanka,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",LKR,2016,65101.0
Taiwan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",TWD,2016,181989.2
Thailand,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",THB,2016,125978.5
Turkmenistan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",TMT,2016,346.4
Uzbekistan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",UZS,2016,791310.5
Vietnam,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",VND,2016,76011596.1
Australasia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",USD,2016,21095.4
Australia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",AUD,2016,27167.9
New Zealand,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",NZD,2016,1463.0
Eastern Europe,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",USD,2016,40893.0
Belarus,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",BYN,2016,1307.7
Bosnia and Herzegovina,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",BAM,2016,430.9
Bulgaria,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",BGN,2016,2808.4
Croatia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",HRK,2016,4272.4
Czech Republic,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",CZK,2016,32408.0
Estonia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",EUR,2016,213.9
Georgia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",GEL,2016,1837.8
Hungary,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",HuF,2016,400714.9
Latvia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",EUR,2016,287.1
Lithuania,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",EUR,2016,760.8
Montenegro,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",EUR,2016,48.5
North Macedonia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",MKD,2016,3660.4
