Geography,Category,year,เทียบปี 2010 = 100
Bangladesh,Index of Health Goods and Medical Services Prices,2016,156.5
Cambodia,Index of Health Goods and Medical Services Prices,2016,119.3
China,Index of Health Goods and Medical Services Prices,2016,116.3
"Hong Kong, China",Index of Health Goods and Medical Services Prices,2016,124.5
India,Index of Health Goods and Medical Services Prices,2016,137.7
Indonesia,Index of Health Goods and Medical Services Prices,2016,129.3
Japan,Index of Health Goods and Medical Services Prices,2016,99.5
Kazakhstan,Index of Health Goods and Medical Services Prices,2016,180.4
Laos,Index of Health Goods and Medical Services Prices,2016,113.9
Malaysia,Index of Health Goods and Medical Services Prices,2016,118.4
Myanmar,Index of Health Goods and Medical Services Prices,2016,111.9
Pakistan,Index of Health Goods and Medical Services Prices,2016,160.3
Philippines,Index of Health Goods and Medical Services Prices,2016,119.7
Singapore,Index of Health Goods and Medical Services Prices,2016,116.2
South Korea,Index of Health Goods and Medical Services Prices,2016,107.5
Sri Lanka,Index of Health Goods and Medical Services Prices,2016,147.8
Taiwan,Index of Health Goods and Medical Services Prices,2016,103.9
Thailand,Index of Health Goods and Medical Services Prices,2016,104.6
Turkmenistan,Index of Health Goods and Medical Services Prices,2016,144.8
Uzbekistan,Index of Health Goods and Medical Services Prices,2016,150.1
Vietnam,Index of Health Goods and Medical Services Prices,2016,260.4
Australia,Index of Health Goods and Medical Services Prices,2016,111.5
New Zealand,Index of Health Goods and Medical Services Prices,2016,115.4
Belarus,Index of Health Goods and Medical Services Prices,2016,561.0
Bosnia and Herzegovina,Index of Health Goods and Medical Services Prices,2016,100.1
Bulgaria,Index of Health Goods and Medical Services Prices,2016,168.9
Croatia,Index of Health Goods and Medical Services Prices,2016,109.3
Czech Republic,Index of Health Goods and Medical Services Prices,2016,112.3
Estonia,Index of Health Goods and Medical Services Prices,2016,115.2
Georgia,Index of Health Goods and Medical Services Prices,2016,130.4
Hungary,Index of Health Goods and Medical Services Prices,2016,121.9
Latvia,Index of Health Goods and Medical Services Prices,2016,114.4
Lithuania,Index of Health Goods and Medical Services Prices,2016,111.6
Montenegro,Index of Health Goods and Medical Services Prices,2016,121.9
North Macedonia,Index of Health Goods and Medical Services Prices,2016,126.9
Poland,Index of Health Goods and Medical Services Prices,2016,111.4
Romania,Index of Health Goods and Medical Services Prices,2016,111.8
Russia,Index of Health Goods and Medical Services Prices,2016,168.7
Serbia,Index of Health Goods and Medical Services Prices,2016,127.7
Slovakia,Index of Health Goods and Medical Services Prices,2016,114.7
Slovenia,Index of Health Goods and Medical Services Prices,2016,101.5
Ukraine,Index of Health Goods and Medical Services Prices,2016,244.6
Argentina,Index of Health Goods and Medical Services Prices,2016,401.5
Bolivia,Index of Health Goods and Medical Services Prices,2016,153.8
Brazil,Index of Health Goods and Medical Services Prices,2016,155.1
Chile,Index of Health Goods and Medical Services Prices,2016,127.8
Colombia,Index of Health Goods and Medical Services Prices,2016,149.2
Costa Rica,Index of Health Goods and Medical Services Prices,2016,133.0
Dominican Republic,Index of Health Goods and Medical Services Prices,2016,131.1
Ecuador,Index of Health Goods and Medical Services Prices,2016,122.8
El Salvador,Index of Health Goods and Medical Services Prices,2016,101.9
Guatemala,Index of Health Goods and Medical Services Prices,2016,120.9
Honduras,Index of Health Goods and Medical Services Prices,2016,140.1
Mexico,Index of Health Goods and Medical Services Prices,2016,133.6
Panama,Index of Health Goods and Medical Services Prices,2016,125.7
Paraguay,Index of Health Goods and Medical Services Prices,2016,133.8
Peru,Index of Health Goods and Medical Services Prices,2016,122.2
Uruguay,Index of Health Goods and Medical Services Prices,2016,155.6
Venezuela,Index of Health Goods and Medical Services Prices,2016,2453.2
Algeria,Index of Health Goods and Medical Services Prices,2016,136.9
Angola,Index of Health Goods and Medical Services Prices,2016,195.5
Bahrain,Index of Health Goods and Medical Services Prices,2016,112.3
Cameroon,Index of Health Goods and Medical Services Prices,2016,108.6
