Geography,Category,year,thousands
Asia Pacific,Population Aged 60-64,2016,175500.4
Afghanistan,Population Aged 60-64,2016,530.7
Armenia,Population Aged 60-64,2016,153.3
Azerbaijan,Population Aged 60-64,2016,351.1
Bangladesh,Population Aged 60-64,2016,3366.3
Bhutan,Population Aged 60-64,2016,17.9
Brunei Darussalam,Population Aged 60-64,2016,13.3
Cambodia,Population Aged 60-64,2016,420.6
China,Population Aged 60-64,2016,81459.3
Fiji,Population Aged 60-64,2016,28.2
French Polynesia,Population Aged 60-64,2016,11.8
Guam,Population Aged 60-64,2016,7.0
"Hong Kong, China",Population Aged 60-64,2016,495.3
India,Population Aged 60-64,2016,44432.0
Indonesia,Population Aged 60-64,2016,8454.7
Japan,Population Aged 60-64,2016,8159.7
Kazakhstan,Population Aged 60-64,2016,734.1
Kiribati,Population Aged 60-64,2016,2.5
Kyrgyzstan,Population Aged 60-64,2016,170.5
Laos,Population Aged 60-64,2016,159.4
"Macau, China",Population Aged 60-64,2016,37.1
Malaysia,Population Aged 60-64,2016,1066.9
Maldives,Population Aged 60-64,2016,9.4
Mongolia,Population Aged 60-64,2016,74.4
Myanmar,Population Aged 60-64,2016,1862.0
Nepal,Population Aged 60-64,2016,769.5
New Caledonia,Population Aged 60-64,2016,10.9
North Korea,Population Aged 60-64,2016,838.0
Pakistan,Population Aged 60-64,2016,4279.4
Papua New Guinea,Population Aged 60-64,2016,191.5
Philippines,Population Aged 60-64,2016,2888.5
Samoa,Population Aged 60-64,2016,5.1
Singapore,Population Aged 60-64,2016,410.9
Solomon Islands,Population Aged 60-64,2016,11.1
South Korea,Population Aged 60-64,2016,2993.3
Sri Lanka,Population Aged 60-64,2016,992.2
Taiwan,Population Aged 60-64,2016,1519.7
Tajikistan,Population Aged 60-64,2016,175.6
Thailand,Population Aged 60-64,2016,3665.9
Tonga,Population Aged 60-64,2016,2.7
Turkmenistan,Population Aged 60-64,2016,163.2
Uzbekistan,Population Aged 60-64,2016,952.2
Vanuatu,Population Aged 60-64,2016,5.5
Vietnam,Population Aged 60-64,2016,3607.7
Australasia,Population Aged 60-64,2016,1557.9
Australia,Population Aged 60-64,2016,1304.9
New Zealand,Population Aged 60-64,2016,253.0
Eastern Europe,Population Aged 60-64,2016,21351.1
Albania,Population Aged 60-64,2016,159.2
Belarus,Population Aged 60-64,2016,582.3
Bosnia and Herzegovina,Population Aged 60-64,2016,254.9
Bulgaria,Population Aged 60-64,2016,493.1
Croatia,Population Aged 60-64,2016,292.6
Czech Republic,Population Aged 60-64,2016,721.4
Estonia,Population Aged 60-64,2016,83.5
Georgia,Population Aged 60-64,2016,227.5
Hungary,Population Aged 60-64,2016,725.1
Latvia,Population Aged 60-64,2016,122.5
Lithuania,Population Aged 60-64,2016,171.4
Moldova,Population Aged 60-64,2016,273.2
Montenegro,Population Aged 60-64,2016,41.1
North Macedonia,Population Aged 60-64,2016,122.9
Poland,Population Aged 60-64,2016,2726.5
Romania,Population Aged 60-64,2016,1344.9
Russia,Population Aged 60-64,2016,9294.5
Serbia,Population Aged 60-64,2016,558.8
Slovakia,Population Aged 60-64,2016,363.3
Slovenia,Population Aged 60-64,2016,144.1
Ukraine,Population Aged 60-64,2016,2648.3
Latin America,Population Aged 60-64,2016,23155.6
Antigua and Barbuda,Population Aged 60-64,2016,3.8
Argentina,Population Aged 60-64,2016,1839.8
Aruba,Population Aged 60-64,2016,6.7
Bahamas,Population Aged 60-64,2016,13.8
Barbados,Population Aged 60-64,2016,16.4
Belize,Population Aged 60-64,2016,8.4
Bolivia,Population Aged 60-64,2016,306.7
Brazil,Population Aged 60-64,2016,8320.9
Chile,Population Aged 60-64,2016,891.0
Colombia,Population Aged 60-64,2016,1845.9
Costa Rica,Population Aged 60-64,2016,191.7
Cuba,Population Aged 60-64,2016,603.7
Curacao,Population Aged 60-64,2016,10.2
Dominican Republic,Population Aged 60-64,2016,334.8
Ecuador,Population Aged 60-64,2016,533.6
El Salvador,Population Aged 60-64,2016,208.0
French Guiana,Population Aged 60-64,2016,8.3
Grenada,Population Aged 60-64,2016,4.6
Guadeloupe,Population Aged 60-64,2016,25.2
Guatemala,Population Aged 60-64,2016,371.0
Guyana,Population Aged 60-64,2016,24.7
Haiti,Population Aged 60-64,2016,268.7
Honduras,Population Aged 60-64,2016,205.5
Jamaica,Population Aged 60-64,2016,103.2
Martinique,Population Aged 60-64,2016,25.7
Mexico,Population Aged 60-64,2016,3925.2
Nicaragua,Population Aged 60-64,2016,173.9
Panama,Population Aged 60-64,2016,135.8
Paraguay,Population Aged 60-64,2016,204.1
Peru,Population Aged 60-64,2016,1069.9
Puerto Rico,Population Aged 60-64,2016,180.2
