Geography,year,Life Expectancy at Birth
Asia Pacific,2016,72.7
Afghanistan,2016,63.8
Armenia,2016,75.0
Azerbaijan,2016,75.2
Bangladesh,2016,71.8
Bhutan,2016,70.8
Brunei Darussalam,2016,75.5
Cambodia,2016,69.0
China,2016,76.2
Fiji,2016,67.2
French Polynesia,2016,77.0
Guam,2016,79.4
"Hong Kong, China",2016,84.2
India,2016,68.9
Indonesia,2016,71.0
Japan,2016,84.0
Kazakhstan,2016,72.4
Kiribati,2016,67.6
Kyrgyzstan,2016,71.0
Laos,2016,66.9
"Macau, China",2016,83.9
Malaysia,2016,75.6
Maldives,2016,78.0
Mongolia,2016,69.3
Myanmar,2016,66.2
Nepal,2016,69.8
New Caledonia,2016,77.0
North Korea,2016,71.7
Pakistan,2016,66.8
Papua New Guinea,2016,63.7
Philippines,2016,70.8
Samoa,2016,72.9
Singapore,2016,82.8
Solomon Islands,2016,72.4
South Korea,2016,82.3
Sri Lanka,2016,76.5
Taiwan,2016,80.1
Tajikistan,2016,70.4
Thailand,2016,76.4
Tonga,2016,70.6
Turkmenistan,2016,67.8
Uzbekistan,2016,71.2
Vanuatu,2016,70.0
Vietnam,2016,75.2
Australasia,2016,82.3
Australia,2016,82.4
New Zealand,2016,81.6
Eastern Europe,2016,73.8
Albania,2016,78.5
Belarus,2016,73.8
Bosnia and Herzegovina,2016,77.0
Bulgaria,2016,74.9
Croatia,2016,78.2
Czech Republic,2016,79.1
Estonia,2016,78.0
Georgia,2016,73.2
Hungary,2016,76.2
Kosovo,2016,71.6
Latvia,2016,74.9
Lithuania,2016,74.9
Moldova,2016,69.8
Montenegro,2016,76.6
North Macedonia,2016,75.4
Poland,2016,78.0
Romania,2016,75.2
Russia,2016,71.9
Serbia,2016,75.7
Slovakia,2016,77.3
Slovenia,2016,81.2
Ukraine,2016,71.7
Latin America,2016,75.1
Antigua and Barbuda,2016,76.6
Argentina,2016,76.2
Aruba,2016,75.9
Bahamas,2016,73.3
Barbados,2016,78.9
Belize,2016,74.2
Bolivia,2016,70.6
Brazil,2016,75.2
Chile,2016,79.8
Colombia,2016,76.7
Costa Rica,2016,79.7
Cuba,2016,78.6
Curacao,2016,78.4
Dominican Republic,2016,73.5
Ecuador,2016,76.4
El Salvador,2016,72.6
French Guiana,2016,79.6
Grenada,2016,72.4
Guadeloupe,2016,81.5
Guatemala,2016,73.5
Guyana,2016,69.5
Haiti,2016,62.9
Honduras,2016,74.7
Jamaica,2016,74.2
Martinique,2016,82.0
Mexico,2016,74.9
Nicaragua,2016,73.9
Panama,2016,78.0
Paraguay,2016,73.8
Peru,2016,76.0
Puerto Rico,2016,79.7
St Lucia,2016,75.8
St Vincent and the Grenadines,2016,72.2
Suriname,2016,71.4
Trinidad and Tobago,2016,73.1
Uruguay,2016,77.5
US Virgin Islands,2016,80.1
Venezuela,2016,72.4
Middle East and Africa,2016,64.4
Algeria,2016,76.3
Angola,2016,59.9
Bahrain,2016,76.9
Benin,2016,60.9
Botswana,2016,68.2
Burkina Faso,2016,60.4
Burundi,2016,60.5
Cabo Verde,2016,72.3
Cameroon,2016,58.1
Central African Republic,2016,51.6
Chad,2016,53.4
Comoros,2016,63.7
"Congo, Democratic Republic",2016,59.7
Congo-Brazzaville,2016,63.6
Côte d'Ivoire,2016,56.6
Djibouti,2016,65.1
Egypt,2016,71.5
Equatorial Guinea,2016,57.7
Eritrea,2016,65.1
Eswatini,2016,57.0
Ethiopia,2016,65.5
Gabon,2016,65.4
Gambia,2016,61.2
Ghana,2016,63.1
Guinea,2016,60.2
Guinea-Bissau,2016,57.3
Iran,2016,76.0
Iraq,2016,70.1
Israel,2016,82.4
Jordan,2016,74.2
Kenya,2016,65.4
Kuwait,2016,75.2
Lebanon,2016,78.8
Lesotho,2016,52.1
Liberia,2016,62.8
Libya,2016,72.3
Madagascar,2016,65.9
Malawi,2016,62.7
Mali,2016,58.0
Mauritania,2016,64.2
Mauritius,2016,74.6
Morocco,2016,76.0
Mozambique,2016,58.3
Namibia,2016,62.6
Niger,2016,61.1
Nigeria,2016,53.5
Oman,2016,77.1
Qatar,2016,79.9
Réunion,2016,79.9
Rwanda,2016,67.9
Sao Tomé e Príncipe,2016,69.7
Saudi Arabia,2016,74.8
Senegal,2016,67.1
Seychelles,2016,73.2
Sierra Leone,2016,53.4
Somalia,2016,56.3
South Africa,2016,63.2
South Sudan,2016,57.1
Sudan,2016,64.7
Syria,2016,70.3
Tanzania,2016,63.8
Togo,2016,60.2
Tunisia,2016,76.1
Uganda,2016,62.0
United Arab Emirates,2016,77.5
Yemen,2016,66.1
Zambia,2016,62.5
Zimbabwe,2016,60.3
North America,2016,78.9
Canada,2016,81.9
USA,2016,78.5
Western Europe,2016,81.5
Austria,2016,81.8
Belgium,2016,81.5
Cyprus,2016,82.7
Denmark,2016,80.9
Finland,2016,81.5
France,2016,82.7
Germany,2016,81.0
Greece,2016,81.5
Iceland,2016,82.2
Ireland,2016,81.7
Italy,2016,83.4
Liechtenstein,2016,82.3
Luxembourg,2016,82.7
Malta,2016,82.6
Netherlands,2016,81.7
Norway,2016,82.5
Portugal,2016,81.3
Spain,2016,83.5
Sweden,2016,82.4
Switzerland,2016,83.7
Turkey,2016,78.1
United Kingdom,2016,81.2
Asia Pacific,2017,72.9
Afghanistan,2017,64.1
Armenia,2017,75.4
Azerbaijan,2017,75.4
Bangladesh,2017,72.1
Bhutan,2017,71.1
Brunei Darussalam,2017,75.6
Cambodia,2017,69.3
China,2017,76.5
Fiji,2017,67.3
French Polynesia,2017,77.3
Guam,2017,79.6
"Hong Kong, China",2017,84.7
India,2017,69.2
Indonesia,2017,71.3
Japan,2017,84.1
Kazakhstan,2017,73.0
Kiribati,2017,67.9
Kyrgyzstan,2017,71.2
Laos,2017,67.3
"Macau, China",2017,84.0
