Geography,year,Life Expectancy at Birth,Healthy Life Expectancy at Birth
Asia Pacific,2021,73.1,65.7
Afghanistan,2021,65.5,62.8
Armenia,2021,76.8,65.1
Azerbaijan,2021,76.4,69.6
Bangladesh,2021,73.1,67.1
Bhutan,2021,72.4,69.1
Brunei Darussalam,2021,76.1,68.9
Cambodia,2021,70.3,65.3
China,2021,76.6,67.2
Fiji,2021,67.7,63.7
French Polynesia,2021,78.0,63.6
Guam,2021,80.5,64.2
"Hong Kong, China",2021,84.8,61.0
India,2021,69.2,56.3
Indonesia,2021,72.1,66.2
Japan,2021,84.4,65.4
Kazakhstan,2021,72.8,64.9
Kiribati,2021,68.8,65.4
Kyrgyzstan,2021,71.9,68.3
Laos,2021,68.5,64.7
"Macau, China",2021,84.5,66.7
Malaysia,2021,76.2,66.6
Maldives,2021,79.5,63.5
Mongolia,2021,70.2,62.9
Myanmar,2021,67.6,64.1
Nepal,2021,71.3,67.9
New Caledonia,2021,77.9,62.9
North Korea,2021,72.6,57.1
Pakistan,2021,67.6,66.5
Papua New Guinea,2021,64.9,53.8
Philippines,2021,71.5,67.0
Samoa,2021,73.6,54.6
Singapore,2021,83.2,60.5
Solomon Islands,2021,73.2,54.6
South Korea,2021,82.9,54.3
Sri Lanka,2021,77.3,64.4
Taiwan,2021,81.0,52.4
Tajikistan,2021,71.5,47.1
Thailand,2021,77.5,47.8
Tonga,2021,71.1,56.6
Turkmenistan,2021,68.4,53.1
Uzbekistan,2021,71.9,56.5
Vanuatu,2021,70.8,50.8
Vietnam,2021,75.6,59.7
Australasia,2021,83.0,63.1
Australia,2021,83.2,51.4
New Zealand,2021,82.0,58.3
Eastern Europe,2021,74.2,52.8
Albania,2021,79.3,58.7
Belarus,2021,74.2,57.9
Bosnia and Herzegovina,2021,77.4,54.6
Bulgaria,2021,73.5,56.5
Croatia,2021,78.0,54.4
Czech Republic,2021,78.2,51.5
Estonia,2021,78.5,66.0
Georgia,2021,73.8,61.3
Hungary,2021,75.6,72.5
Kosovo,2021,72.5,65.0
Latvia,2021,75.6,58.7
Lithuania,2021,75.0,65.1
Moldova,2021,70.9,68.2
Montenegro,2021,77.0,48.1
North Macedonia,2021,76.6,55.5
Poland,2021,76.4,63.0
Romania,2021,74.3,59.4
Russia,2021,73.3,56.6
Serbia,2021,75.7,52.3
Slovakia,2021,76.8,57.1
Slovenia,2021,80.8,64.9
Ukraine,2021,71.8,67.3
Latin America,2021,75.5,53.5
Antigua and Barbuda,2021,77.3,55.9
Argentina,2021,76.7,55.3
Aruba,2021,76.6,48.1
Bahamas,2021,74.2,67.5
Barbados,2021,79.4,69.2
Belize,2021,74.9,60.8
Bolivia,2021,71.5,61.8
Brazil,2021,75.5,64.9
Chile,2021,80.2,59.4
Colombia,2021,77.3,64.2
Costa Rica,2021,79.9,48.2
Cuba,2021,79.0,51.0
Curacao,2021,79.2,55.1
Dominican Republic,2021,74.4,49.9
Ecuador,2021,77.0,57.0
El Salvador,2021,73.7,64.2
French Guiana,2021,80.3,57.4
Grenada,2021,72.5,53.9
Guadeloupe,2021,82.5,66.6
Guatemala,2021,74.3,55.9
Guyana,2021,70.1,67.2
Haiti,2021,64.6,57.2
Honduras,2021,75.6,56.2
Jamaica,2021,74.7,54.2
Martinique,2021,82.9,66.7
Mexico,2021,75.1,71.0
Nicaragua,2021,74.9,66.2
Panama,2021,78.9,70.6
Paraguay,2021,74.5,70.7
Peru,2021,76.7,70.3
Puerto Rico,2021,80.4,71.8
St Lucia,2021,76.5,71.0
St Vincent and the Grenadines,2021,72.8,71.1
Suriname,2021,71.9,72.0
Trinidad and Tobago,2021,73.7,70.3
Uruguay,2021,77.6,70.8
US Virgin Islands,2021,80.9,72.6
Venezuela,2021,72.1,71.5
Middle East and Africa,2021,65.7,71.5
Algeria,2021,77.2,71.2
Angola,2021,61.8,72.2
Bahrain,2021,77.0,71.3
Benin,2021,62.4,71.9
Botswana,2021,69.9,70.3
Burkina Faso,2021,62.4,71.5
Burundi,2021,62.2,72.1
Cabo Verde,2021,73.3,72.4
Cameroon,2021,59.9,68.5
Central African Republic,2021,54.0,70.0
Chad,2021,54.8,
Comoros,2021,64.7,
"Congo, Democratic Republic",2021,61.2,
Congo-Brazzaville,2021,65.0,
Côte d'Ivoire,2021,58.4,
Djibouti,2021,67.7,
Egypt,2021,72.0,
Equatorial Guinea,2021,59.4,
Eritrea,2021,67.0,
Eswatini,2021,61.0,
Ethiopia,2021,67.3,
Gabon,2021,66.9,
Gambia,2021,62.7,
Ghana,2021,64.6,
Guinea,2021,62.3,
Guinea-Bissau,2021,58.9,
Iran,2021,77.1,
Iraq,2021,70.9,
Israel,2021,82.8,
Jordan,2021,74.8,
Kenya,2021,67.2,
Kuwait,2021,75.3,
Lebanon,2021,79.1,
Lesotho,2021,55.2,
Liberia,2021,64.7,
Libya,2021,73.2,
Madagascar,2021,67.7,
Malawi,2021,65.1,
Mali,2021,60.1,
Mauritania,2021,65.3,
Mauritius,2021,75.3,
Morocco,2021,77.1,
Mozambique,2021,61.8,
Namibia,2021,64.4,
Niger,2021,63.1,
Nigeria,2021,55.3,
Oman,2021,77.4,
Qatar,2021,79.9,
Réunion,2021,81.1,
Rwanda,2021,69.6,
Sao Tomé e Príncipe,2021,70.8,
Saudi Arabia,2021,75.4,
Senegal,2021,68.5,
Seychelles,2021,73.6,
Sierra Leone,2021,55.4,
Somalia,2021,58.0,
South Africa,2021,64.1,
South Sudan,2021,58.4,
Sudan,2021,65.8,
Syria,2021,74.6,
Tanzania,2021,66.1,
Togo,2021,61.7,
Tunisia,2021,76.7,
Uganda,2021,64.0,
United Arab Emirates,2021,77.7,
Yemen,2021,66.3,
Zambia,2021,64.5,
Zimbabwe,2021,62.0,
North America,2021,79.1,
Canada,2021,82.1,
USA,2021,78.8,
Western Europe,2021,81.4,
Austria,2021,81.4,
Belgium,2021,81.1,
Cyprus,2021,82.5,
Denmark,2021,81.3,
Finland,2021,81.8,
France,2021,82.4,
Germany,2021,81.3,
Greece,2021,81.0,
Iceland,2021,83.3,
Ireland,2021,82.5,
Italy,2021,82.5,
Liechtenstein,2021,82.0,
Luxembourg,2021,82.0,
Malta,2021,82.8,
Netherlands,2021,81.6,
Norway,2021,83.5,
Portugal,2021,80.9,
Spain,2021,82.5,
Sweden,2021,82.6,
Switzerland,2021,83.3,
Turkey,2021,78.6,
United Kingdom,2021,81.4,
